condition,layer,position,prompt_token,family,variant_count,best_token_id,best_token,best_surface,best_rank,best_logit,family_log_probability,family_probability
L22_only,22,16,spinning,six,5,19759, Six, Six,86486,6.34375,-72.696533203125,2.680999767907555e-32
L22_only,22,16,spinning,eight,5,80357,Eight,Eight,121799,2.59375,-76.45288848876953,6.265163422651545e-34
L22_only,22,16,spinning,four,5,13038, Four, Four,146653,0.140625,-78.87722778320312,5.546962449795891e-35
L22_only,22,16,spinning,web,6,34888, spinning, spinning,336,40.75,-38.325782775878906,2.26633458240892e-17
L22_only,22,21,"
",spider,5,92664, spiders, spiders,1,96.0,-3.6954579627490602e-06,0.9999963045488655
L22_only,22,21,"
",ant,6,63272, ants, ants,21,62.0,-34.0000114440918,1.7138888175288235e-15
L22_only,22,21,"
",insect,3,30348, insects, insects,3,83.5,-12.500009536743164,3.7266176321139755e-06
L22_only,22,21,"
",six,5,34699,six,six,1881,32.25,-63.74906539916992,2.061259501913788e-28
L22_only,22,21,"
",eight,5,80357,Eight,Eight,8330,23.125,-72.11328887939453,4.8039288638420044e-32
L22_only,22,21,"
",four,5,19025,four,four,2094,31.625,-64.36923217773438,1.1086581676564502e-28
L22_only,22,21,"
",web,6,208971,spinning,spinning,136,49.0,-46.524391174316406,6.233236987726751e-21
L7_L22,7,16,spinning,spider,5,86757,Spider,Spider,23,67.5,-38.529781341552734,1.8481132232702044e-17
L7_L22,7,16,spinning,ant,6,63272, ants, ants,390,39.25,-66.77979278564453,9.951865332238668e-30
L7_L22,7,16,spinning,insect,3,182852,insect,insect,84,51.5,-54.5245475769043,2.0906910451796724e-24
L7_L22,7,16,spinning,six,5,44955,Six,Six,14685,16.875,-89.15438842773438,1.9087149203274637e-39
L7_L22,7,16,spinning,eight,5,80357,Eight,Eight,11587,18.375,-87.65375518798828,8.559685414018043e-39
L7_L22,7,16,spinning,four,5,19025,four,four,21195,14.4375,-91.59156036376953,1.6683637504858054e-40
L7_L22,7,16,spinning,web,6,208971,spinning,spinning,229,43.0,-63.01839065551758,4.280166660974903e-28
L7_L22,22,16,spinning,spider,5,92664, spiders, spiders,1,75.5,-0.3498765230178833,0.704775107849623
L7_L22,22,16,spinning,ant,6,63272, ants, ants,2,74.5,-1.3797907829284668,0.25163119309429316
L7_L22,22,16,spinning,insect,3,30348, insects, insects,6,69.5,-6.379769325256348,0.0016955140237796525
L7_L22,22,16,spinning,six,5,19759, Six, Six,101055,5.3125,-70.03131866455078,3.8528734411258026e-31
L7_L22,22,16,spinning,eight,5,80357,Eight,Eight,120540,3.34375,-72.52952575683594,3.168306503053704e-32
L7_L22,22,16,spinning,four,5,13038, Four, Four,174361,-2.078125,-77.53595733642578,2.121102128161655e-34
L7_L22,22,16,spinning,web,6,34888, spinning, spinning,1044,36.0,-39.86284255981445,4.8728993746463906e-18
L7_L22,22,21,"
",spider,5,92664, spiders, spiders,7,51.0,-6.923740863800049,0.0009841415065320518
L7_L22,22,21,"
",ant,6,63272, ants, ants,169,34.75,-23.195728302001953,8.437682798172421e-11
L7_L22,22,21,"
",insect,3,30348, insects, insects,3,56.25,-1.6950080394744873,0.1835977529923335
L7_L22,22,21,"
",six,5,34699,six,six,1116,26.625,-31.294340133666992,2.564724763661157e-14
L7_L22,22,21,"
",eight,5,44622,eight,eight,3422,21.625,-35.82551574707031,2.7616980908120665e-16
L7_L22,22,21,"
",four,5,19025,four,four,1365,25.75,-32.188316345214844,1.049039471767333e-14
L7_L22,22,21,"
",web,6,57031,webs,webs,586,29.375,-28.31675148010254,5.03722194546845e-13
