layer,transport,residual_delta_norm,relative_residual_delta_norm,clean_edited_cosine,top5_token_overlap,clean_ant_minus_spider,edited_ant_minus_spider,clean_insect_minus_spider,edited_insect_minus_spider,clean_six_minus_eight,edited_six_minus_eight
22,published_jlens,3707.36083984375,0.13194816872154078,0.9918180704116821,0,-48.7501220703125,-16.271987438201904,-31.500123977661133,5.2287328243255615,2.9598312377929688,4.53117561340332
23,published_jlens,4001.443359375,0.14541645580132262,0.9894705414772034,1,-61.00000774860291,-22.00342845916748,-32.50000774860291,10.996617197990417,2.7070388793945312,7.592426300048828
24,published_jlens,4807.59619140625,0.17921243526409394,0.9843384623527527,3,-59.000003814697266,-36.00153160095215,-26.500001907348633,13.49849760536199,0.7524337768554688,11.31396484375
25,published_jlens,5830.8798828125,0.19804786155299786,0.9815783500671387,1,-42.751502990722656,-30.443603515625,-17.501502990722656,15.385286331176758,-1.5259323120117188,8.48404312133789
26,published_jlens,6991.3232421875,0.23063273472230061,0.9752873778343201,2,-40.32889175415039,-31.019634246826172,-19.078554153442383,2.954444646835327,-2.6727752685546875,6.304416656494141
27,published_jlens,8295.4580078125,0.24107189176702165,0.9715985655784607,1,-47.1931494474411,-28.511990547180176,-20.192237734794617,6.6894237995147705,-3.7279281616210938,6.289115905761719
28,published_jlens,10211.091796875,0.24355787962124062,0.9700530171394348,1,-38.06363669037819,-22.91299867630005,-21.055019289255142,-0.7861461639404297,-7.556026458740234,2.515460968017578
29,published_jlens,11888.0361328125,0.2709035255926949,0.9626108407974243,1,-26.416421085596085,-15.238924503326416,-16.148329883813858,0.2811555862426758,-12.516132354736328,2.0091910362243652
30,published_jlens,14289.03515625,0.30243306960645183,0.9538553357124329,0,-19.96402905881405,-9.662432670593262,-13.708858236670494,2.0267038345336914,-15.200632095336914,8.123852102085948
31,published_jlens,14404.1650390625,0.2775873960392753,0.9607037305831909,1,-16.16902396082878,-8.813526153564453,-8.06369063258171,2.850466728210449,-11.898579478263855,5.937846206128597
32,published_jlens,15205.607421875,0.2862117079711359,0.9582474231719971,0,-12.015320092439651,-9.542109966278076,-7.471204072237015,-1.0438671112060547,-7.028928995132446,5.556157827377319
33,identity_final,16262.109375,0.4957826144896283,0.8705428838729858,0,-15.577468872070312,-10.429874420166016,-12.825883865356445,-8.224773406982422,-9.642085075378418,10.370983839035034
