condition,scope,positions,spider_suppression,ant_factor,top_token,top_probability,p_six,p_eight,p_four,log_p_six_minus_log_p_eight,operation_count,delta_norms,active_feature_position_counts
clean,clean,[],0.0,0.0, Eight,0.999982476234436,1.1253320053583593e-07,0.999982476234436,1.6701407730579376e-05,-16.000000019046855,0,{},{}
zero_suffix_control,suffix,"[16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]",0.0,0.0, Eight,0.999982476234436,1.1253320053583593e-07,0.999982476234436,1.6701407730579376e-05,-16.000000019046855,77,"{""ant_L22"": 0.0, ""ant_L7"": 0.0, ""spider_L22"": 0.0, ""spider_L7"": 0.0}","{""spider_L22"": 9, ""spider_L7"": 2}"
established_sparse_both,established_sparse,"[16, 21]",1.0,4.0, Six,0.9522210955619812,0.9522210955619812,0.047408293932676315,0.0003194345918018371,3.0000000601875754,8,"{""ant_L22"": 7433.618247465757, ""ant_L7"": 505.07196044921875, ""spider_L22"": 1832.9855806212438, ""spider_L7"": 158.0295730120097}","{""spider_L22"": 3, ""spider_L7"": 2}"
position16_both,position16,[16],1.0,4.0, Eight,0.9033616185188293,0.09521361440420151,0.9033616185188293,0.001358149223960936,-2.2499999967088087,7,"{""ant_L22"": 7433.618247465757, ""ant_L7"": 505.07196044921875, ""spider_L22"": 1513.8866906725525, ""spider_L7"": 158.0295730120097}","{""spider_L22"": 2, ""spider_L7"": 2}"
suffix_spider_only,suffix,"[16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]",1.0,0.0, Eight,0.9999691247940063,2.7535601475392468e-05,0.9999691247940063,2.902231017287704e-06,-10.499999915774804,77,"{""ant_L22"": 0.0, ""ant_L7"": 0.0, ""spider_L22"": 3092.018861460375, ""spider_L7"": 158.0295730120097}","{""spider_L22"": 9, ""spider_L7"": 2}"
suffix_ant_only,suffix,"[16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]",0.0,4.0, Two,0.45800450444221497,9.629241759512297e-08,0.3566942512989044,0.0006885819020681083,-15.124999955477756,77,"{""ant_L22"": 24654.522561583188, ""ant_L7"": 1675.1341849392809, ""spider_L22"": 0.0, ""spider_L7"": 0.0}","{""spider_L22"": 8, ""spider_L7"": 2}"
suffix_both,suffix,"[16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]",1.0,4.0, Two,0.5777376294136047,9.459743921524932e-08,0.0474235936999321,0.000596974918153137,-13.125000014122525,77,"{""ant_L22"": 24654.522561583188, ""ant_L7"": 1675.1341849392809, ""spider_L22"": 2380.983885793128, ""spider_L7"": 158.0295730120097}","{""spider_L22"": 8, ""spider_L7"": 2}"
