layer,transport,residual_delta_norm,relative_residual_delta_norm,clean_edited_cosine,top5_token_overlap,clean_ant_minus_spider,edited_ant_minus_spider,clean_insect_minus_spider,edited_insect_minus_spider,clean_six_minus_eight,edited_six_minus_eight
22,published_jlens,9042.205078125,0.23243492075860311,0.9729043245315552,3,-57.01194763183594,-1.0299142599105835,-41.01044464111328,-6.029892802238464,-2.798614501953125,2.4982070922851562
23,published_jlens,9859.810546875,0.24816468007686474,0.9696400761604309,2,-65.00093066703994,1.7985701113939285,-46.99845111381728,-7.698954224586487,-2.6630859375,4.29302978515625
24,published_jlens,11117.8125,0.2768847681273933,0.9639694094657898,2,-57.000911712646484,3.4767536856234074,-44.471160888671875,-10.269167184829712,-3.4295578002929688,10.267059326171875
25,published_jlens,12760.970703125,0.2982886886078908,0.9615175724029541,2,-44.25247561954893,6.113126369426027,-34.37554919742979,-7.185460090637207,-4.307487487792969,3.8249282836914062
26,published_jlens,14547.6826171875,0.3188239192327899,0.9620510935783386,2,-43.750125885009766,4.97024527285248,-28.306976318359375,-6.467791557312012,-3.2837142944335938,3.977386474609375
27,published_jlens,15624.97265625,0.3095969095363213,0.960848867893219,3,-52.25004577636719,-0.5067416727542877,-37.68678283691406,-12.242613941431046,-4.398780822753906,1.8529129028320312
28,published_jlens,17775.681640625,0.3118481013144006,0.9634037017822266,2,-47.750022888183594,-0.6730272769927979,-33.976776123046875,-8.251047492027283,-5.2810211181640625,-0.5501289367675781
29,published_jlens,19607.865234375,0.3325941819232805,0.9595644474029541,1,-38.249916076660156,-1.6885962784290314,-28.220287322998047,-7.748389273881912,-2.837810516357422,-0.4319114685058594
30,published_jlens,22362.83203125,0.4125409045225696,0.9473443031311035,1,-26.999555587768555,-4.064992606639862,-19.462425231933594,-4.125729739665985,-2.8468093872070312,-0.7211780548095703
31,published_jlens,22879.376953125,0.3949531261579215,0.949305534362793,2,-24.240979909940506,-5.374493181705475,-16.1109921932657,-2.6256054043769836,-1.4295768737792969,-0.6172332763671875
32,published_jlens,22847.712890625,0.37306502100901306,0.9475233554840088,2,-17.114963180822087,-4.121054530143738,-9.99976790646906,-0.250069260597229,-1.2365646362304688,-0.263763427734375
33,identity_final,22736.583984375,0.5862691281937232,0.8495035767555237,2,-17.123924614923453,-2.6248159408569336,-11.250027062433219,-0.7500083446502686,-2.6132736206054688,0.054576873779296875
