condition,layer,position,prompt_token,family,variant_count,best_token_id,best_token,best_surface,best_rank,best_logit,family_log_probability,family_probability
L22_only,22,16,spinning,six,5,19759, Six, Six,87035,6.28125,-73.09811401367188,1.7942892134205212e-32
L22_only,22,16,spinning,eight,5,80357,Eight,Eight,124930,2.265625,-77.10511779785156,3.263418820966969e-34
L22_only,22,16,spinning,four,5,13038, Four, Four,147040,0.0859375,-79.27312469482422,3.7335277343097976e-35
L22_only,22,16,spinning,web,6,34888, spinning, spinning,345,40.75,-38.656715393066406,1.6278028941032985e-17
L22_only,22,21,"
",spider,5,92664, spiders, spiders,1,94.5,-3.6954579627490602e-06,0.9999963045488655
L22_only,22,21,"
",ant,6,63272, ants, ants,22,61.25,-33.2500114440918,3.628302655180796e-15
L22_only,22,21,"
",insect,3,30348, insects, insects,3,82.0,-12.500009536743164,3.7266176321139755e-06
L22_only,22,21,"
",six,5,34699,six,six,1531,33.75,-60.74932861328125,4.139060780797831e-27
L22_only,22,21,"
",eight,5,6589, eight, eight,6921,24.375,-69.22232818603516,8.652166022133969e-31
L22_only,22,21,"
",four,5,19025,four,four,1593,33.5,-60.99197769165039,3.24728680740933e-27
L22_only,22,21,"
",web,6,208971,spinning,spinning,144,48.5,-45.421775817871094,1.8774717200944958e-20
L7_L22,7,16,spinning,spider,5,86757,Spider,Spider,22,67.5,-38.078922271728516,2.900909501905509e-17
L7_L22,7,16,spinning,ant,6,63272, ants, ants,406,39.0,-66.57893371582031,1.2165682448459922e-29
L7_L22,7,16,spinning,insect,3,182852,insect,insect,88,51.25,-54.32368850708008,2.5557704515052106e-24
L7_L22,7,16,spinning,six,5,44955,Six,Six,15046,16.75,-88.82844543457031,2.6442122429483084e-39
L7_L22,7,16,spinning,eight,5,80357,Eight,Eight,11918,18.25,-87.32768249511719,1.185958180101413e-38
L7_L22,7,16,spinning,four,5,19025,four,four,21121,14.5,-91.07828521728516,2.7874257578507833e-40
L7_L22,7,16,spinning,web,6,208971,spinning,spinning,229,43.0,-62.56439208984375,6.7395321865360855e-28
