layer,transport,residual_delta_norm,relative_residual_delta_norm,clean_edited_cosine,top5_token_overlap,clean_ant_minus_spider,edited_ant_minus_spider,clean_insect_minus_spider,edited_insect_minus_spider,clean_six_minus_eight,edited_six_minus_eight
22,published_jlens,1362.838623046875,0.04111598479369394,0.9991613626480103,1,-0.2857246398925781,-1.1004257202148438,1.4074287414550781,1.0927238464355469,0.36315155029296875,-0.6485824584960938
23,published_jlens,1444.1453857421875,0.0447962753116448,0.9989957213401794,1,0.7916412353515625,-0.19655609130859375,1.6176223754882812,0.37938690185546875,0.8154830932617188,0.22734832763671875
24,published_jlens,1582.7271728515625,0.048006987247486164,0.9988464117050171,3,-0.9761886596679688,-0.6133346557617188,0.8049697875976562,0.36208343505859375,0.5306243896484375,0.46601104736328125
25,published_jlens,1799.2559814453125,0.05118596871719682,0.9986883997917175,5,-2.285289764404297,-1.626983642578125,1.1433677673339844,1.2214202880859375,0.3548736572265625,0.356597900390625
26,published_jlens,1958.59814453125,0.05044581920898839,0.9987266659736633,4,-6.757457733154297,-4.632411956787109,-3.7347373962402344,-2.8752288818359375,0.3616485595703125,0.7381172180175781
27,published_jlens,2078.234619140625,0.047480507691570396,0.9988725781440735,4,-6.023395538330078,-3.825847625732422,-3.5732955932617188,-2.5088768005371094,-0.26313018798828125,0.11112213134765625
28,published_jlens,2376.123291015625,0.04530219126927077,0.99908447265625,5,-6.208709716796875,-3.919994354248047,-4.299800872802734,-2.8653945922851562,-0.3887901306152344,-0.013721466064453125
29,published_jlens,2477.0771484375,0.04500563908533759,0.9990876317024231,4,-6.016094207763672,-3.5255508422851562,-3.5730819702148438,-2.1097145080566406,-0.8811721801757812,-0.1948699951171875
30,published_jlens,2961.153076171875,0.0570607832625658,0.9988114833831787,4,-5.642925262451172,-1.6420135498046875,-3.5819015502929688,-2.2587852478027344,-1.00653076171875,-0.3809928894042969
31,published_jlens,3084.9453125,0.058679096568412706,0.9987049698829651,5,-5.539985656738281,-1.5427093505859375,-4.109966278076172,-2.7311859130859375,-0.6321372985839844,0.18117141723632812
32,published_jlens,3192.57275390625,0.05734150131290018,0.9987380504608154,3,-5.15858268737793,-1.6760845184326172,-4.446544647216797,-3.34454345703125,-0.7532482147216797,-0.06543159484863281
33,identity_final,3123.357421875,0.060999560953634645,0.9982630610466003,4,-6.117924690246582,-2.318514823913574,-4.948166847229004,-3.7525148391723633,-1.5637683868408203,-0.626704216003418
